system	n	hallucination_rate	refusal_when_required	safety_label_accuracy	evidence_citation_rate	must_include_recall	forbidden_phrase_leak_rate	external_validation_overclaim_rate	llm_status_overclaim_rate	p4_case_accuracy
rag_only	17	0.0	0.5454545454545454	0.7058823529411765	0.7058823529411765	0.0	0.14035087719298245	0.0	0.0	0.0
base	17	0.11764705882352941	0.18181818181818182	0.7058823529411765	0.35294117647058826	0.08823529411764706	0.05263157894736842	0.11764705882352941	0.0	0.0
lora_only	17	0.058823529411764705	0.7272727272727273	0.7058823529411765	0.9411764705882353	0.08823529411764706	0.03508771929824561	0.058823529411764705	0.0	0.8
lora_rag	17	0.058823529411764705	0.6363636363636364	0.7058823529411765	0.7647058823529411	0.08823529411764706	0.05263157894736842	0.058823529411764705	0.0	0.8
