gene	index
SRGN	407
SLC29A3	408
SPOCK2	409
PLAU	410
KCNMA1	411
AL603756.1	412
ACTA2	413
IFIT2	414
IFIT3	415
IFIT1	416
ANKRD1	417
CNNM1	418
TNNI2	419
TNNT3	420
H19	421
IGF2	422
HBB	423
TRIM6	424
ADM	425
MTRNR2L8	426
LYVE1	427
DKK3	428
LINC02751	429
SAA1	430
SLC1A2	431
ALKBH3	432
C11orf96	433
PRG2	434
MS4A7	435
FTH1	436
GPHA2	437
NEAT1	438
CTSW	439
FOSL1	440
GAL	441
CCND1	442
FOLR2	443
CHRDL2	444
PRSS23	445
CTSC	446
CHORDC1	447
FAT3	448
BIRC3	449
MMP10	450
MMP1	451
MMP13	452
CARD16	453
CRYAB	454
NCAM1	455
CADM1	456
PAFAH1B2	457
TAGLN	458
MCAM	459
THY1	460
NRGN	461
ESAM	462
VWF	463
SLC2A3	464
C3AR1	465
MFAP5	466
KLRG1	467
AC092821.3	468
CLEC2B	469
KLRD1	470
PRR4	471
MGST1	472
AC023157.3	473
COL2A1	474
RND1	475
NR4A1	476
LINC02381	477
IL23A	478
STAT6	479
WIF1	480
AC026124.1	481
LYZ	482
PTPRB	483
THAP2	484
CSRP2	485
AC089998.4	486
EPYC	487
GAS2L3	488
PMCH	489
HELLPAR	490
IGF1	491
TXNRD1	492
ALOX5AP	493
MEDAG	494
HSPH1	495
DCLK1	496
POSTN	497
CPB2-AS1	498
LCP1	499
LPAR6	500
CNMD	501
PCDH9	502
LMO7	503
AL161717.1	504
AL137140.1	505
EDNRB	506
SPRY2	507
GPR183	508
ITGBL1	509
COL4A1	510
ADPRHL1	511
CHAMP1	512
RNASE1	513
TRDC	514
TRAC	515
ADCY4	516
NOVA1	517
COCH	518
AL627171.2	519
FRMD6-AS1	520
PSMA3-AS1	521
LTBP2	522
PGF	523
DIO2	524
GPR65	525
IFI27	526
BDKRB1	527
MEG3	528
MEG8	529
DIO3	530
TNFAIP2	531
CKB	532
CRIP1	533
SNHG14	534
AC090877.2	535
GREM1	536
ACTC1	537
THBS1	538
AC051619.7	539
AC051619.8	540
C15orf48	541
FGF7	542
GNB5	543
C2CD4A	544
C2CD4B	545
TPM1	546
PCLAF	547
ZNF609	548
PARP16	549
ITGA11	550
UACA	551
DNAJA4	552
BCL2A1	553
CEMIP	554
NMB	555
ISG20	556
NR2F2	557
LINC00923	558
HBM	559
HBA2	560
HBA1	561
MSLN	562
SNHG9	563
NPW	564
IL32	565
AC108134.2	566
DNASE1	567
IGSF6	568
ALDOA	569
CORO1A	570
MMP2	571
MT3	572
MT1E	573
MT1M	574
MT1A	575
MT1B	576
MT1F	577
MT1G	578
MT1H	579
CX3CL1	580
CDH11	581
CDH5	582
RRAD	583
TPPP3	584
SMPD3	585
NQO1	586
MAF	587
PLCG2	588
CRISPLD2	589
AC105429.1	590
SLC43A2	591
SERPINF1	592
MED11	593
KDM6B	594
LINC00324	595
CTC1	596
NTN1	597
RASD1	598
LINC02076	599
AC007952.4	600
MFAP4	601
MTRNR2L1	602
NOS2	603
EVI2B	604
CCL2	605
CCL5	606
CCL14	607
CCL3	608
CCL4	609
CCL3L1	610
CCL4L2	611
IGFBP4	612
KRT16	613
KRT17	614
RAMP2	615
ARL4D	616
COL1A1	617
VMP1	618
CD79B	619
PECAM1	620
KCNJ2	621
SNHG20	622
SOCS3	623
PIEZO2	624
CHMP1B	625
MIR133A1HG	626
DSC2	627
TTR	628
AC068506.1	629
SLC14A1	630
PMAIP1	631
CDH19	632
CCDC102B	633
MBP	634
CFD	635
AC011498.1	636
TNFAIP8L1	637
TNFSF9	638
C3	639
ANGPTL4	640
ICAM1	641
AC020916.1	642
RASAL3	643
AC020911.2	644
PLVAP	645
BST2	646
AC010319.3	647
IFI30	648
GDF15	649
CRLF1	650
HCST	651
TYROBP	652
GMFG	653
PCAT19	654
LYPD3	655
APOE	656
APOC1	657
GEMIN7-AS1	658
EML2-AS1	659
CD37	660
AC010624.5	661
HAS1	662
ZNF331	663
IL11	664
TRIB3	665
OXT	666
FERMT1	667
THBD	668
CD93	669
MIR663AHG	670
MYL9	671
MROH8	672
TGM2	673
LBP	674
MAFB	675
CCN5	676
SLPI	677
MATN4	678
WFDC2	679
WFDC3	680
UBE2C	681
PLTP	682
MMP9	683
PCK1	684
TNFRSF6B	685
LIME1	686
SOX18	687
SAMSN1	688
MIR99AHG	689
ADAMTS1	690
ADAMTS5	691
SLC5A3	692
RCAN1	693
ITGB2	694
CLDN5	695
MMP11	696
GGT5	697
LIF	698
AC005005.4	699
HMOX1	700
FBLN1	701
MLC1	702
SHANK3	703
CSF2RA	704
MXRA5	705
TMSB4X	706
GPM6B	707
DIPK2B	708
TIMP1	709
PCSK1N	710
CITED1	711
TSIX	712
XIST	713
FTX	714
Z83843.1	715
BTK	716
TCEAL7	717
ACSL4	718
GABRE	719
AC245140.2	720
CD2	721
PYHIN1	722
CD84	723
CD48	724
SLAMF7	725
CD247	726
RGS13	727
ASPM	728
MIR181A1HG	729
NRXN1	730
GNLY	731
CD8A	732
IGKC	733
INPP5D	734
SSUH2	735
WNT5A	736
TRAT1	737
CD96	738
TIGIT	739
GPR171	740
MME	741
CXCL5	742
PLAC8	743
IRX1	744
EMB	745
AC113410.5	746
CARMN	747
AC008443.9	748
HIST1H2BG	749
CRYBG1	750
SAMD3	751
SLC22A1	752
TRGC2	753
IGFBP1	754
IKZF1	755
WNT16	756
TRBC1	757
TRBC2	758
GIMAP4	759
SLURP1	760
LINC01235	761
ORM1	762
CD6	763
MYEOV	764
SLN	765
IL10RA	766
CD3E	767
CD3D	768
CD3G	769
KLRB1	770
CD69	771
KLRK1	772
PCED1B-AS1	773
HMGA2	774
TESC	775
BICDL1	776
SERPINA11	777
BCL11B	778
ITGAM	779
IKZF3	780
TOP2A	781
CCR7	782
FMNL1	783
ABCC3	784
CD7	785
RAB27B	786
NKG7	787
CST7	788
TFF3	789
RAC2	790
P2RY10	791
GPR174	792
SH2D1A	793
AL669831.2	794
AL645608.7	795
GABRD	796
AL139246.1	797
AL136528.1	798
UTS2	799
AL357140.1	800
AADACL4	801
LRRC38	802
PADI1	803
LINC02810	804
HTR6	805
LINC01141	806
KIF17	807
AL031005.1	808
CDC42-IT1	809
AL031428.1	810
HTR1D	811
IL22RA1	812
AL050344.1	813
AL033528.2	814
TRIM63	815
ZNF683	816
AL009181.1	817
AL357500.1	818
AC114488.3	819
AL138787.2	820
CSF3R	821
EDN2	822
AC096540.1	823
MKNK1-AS1	824
EFCAB14-AS1	825
CYP4B1	826
CYP4A11	827
TTC39A	828
TXNDC12-AS1	829
SLC1A7	830
LDLRAD1	831
BSND	832
FYB2	833
C8A	834
AL035416.1	835
CYP2J2	836
LINC00466	837
FOXD3-AS1	838
FOXD3	839
INSL5	840
AL353771.1	841
LRRC53	842
MSH4	843
LINC01361	844
LINC01364	845
AL445438.1	846
GBP5	847
AL596214.1	848
AL627316.1	849
AL109741.1	850
AL365361.1	851
LINC01357	852
AL591742.2	853
SYT6	854
SYCP1	855
AL157902.1	856
FCGR1B	857
SRGAP2-AS1	858
AL592494.1	859
FP700111.1	860
GJA5	861
LINC02806	862
NOTCH2NLB	863
AL450992.1	864
TCHH	865
HRNR	866
CRCT1	867
LCE3E	868
LCE3A	869
KPRP	870
LCE1E	871
S100A12	872
AL138899.3	873
CD1C	874
MNDA	875
CADM3-AS1	876
FCER1A	877
CRP	878
ATP1A2	879
ATP1A4	880
SLAMF1	881
ARHGAP30	882
APOA2	883
FCGR3A	884
FCGR2B	885
AL450163.1	886
AL499616.1	887
AL357568.2	888
XCL1	889
METTL11B	890
FASLG	891
BRINP2	892
LAMC1-AS1	893
AL138778.1	894
CFHR4	895
AC105941.1	896
IGFN1	897
TNNI1	898
PTPN7	899
RHEX	900
IL24	901
FCAMR	902
TRAF3IP3	903
SYT14	904
AL034351.4	905
AL360091.1	906
LINC02817	907
AL392172.2	908
LINC02813	909
ACBD3-AS1	910
DISC1-IT1	911
AL122003.2	912
CHRM3	913
CHRM3-AS2	914
GCSAML	915
ALKAL2	916
AC092159.2	917
LINC01115	918
MYT1L	919
ALLC	920
AC108025.1	921
AC010729.2	922
AC017053.1	923
AC013460.1	924
AC093904.4	925
AC104794.2	926
LINC00276	927
GACAT3	928
AC013472.1	929
NLRC4	930
AC008170.1	931
AC007391.2	932
AC009229.2	933
SLC8A1-AS1	934
LINC01819	935
LINC02590	936
LINC01820	937
FSHR	938
AC018462.1	939
AC114802.1	940
AC007881.4	941
EGR4	942
ACTG2	943
REG1B	944
REG1A	945
FOXI3	946
MAL	947
ZAP70	948
AC092168.3	949
AC007271.1	950
AC010884.2	951
AC108868.1	952
SLC5A7	953
SULT1C3	954
AC092645.2	955
AC012442.2	956
IL1A	957
IL36G	958
IL1RN	959
AC016745.2	960
PGM5P4-AS1	961
AC009303.2	962
AC073257.2	963
LINC01854	964
TUBA3E	965
AC093838.1	966
AC110620.2	967
ARHGAP15	968
AC073225.1	969
SLC4A10	970
SLC38A11	971
SCN2A	972
SCN9A	973
SCN7A	974
XIRP2	975
DHRS9	976
RAPGEF4-AS1	977
AC093911.1	978
LINC01934	979
AC009315.1	980
ZSWIM2	981
HECW2-AS1	982
AC011997.2	983
AC016746.1	984
LINC01877	985
CDK15	986
CD28	987
ICOS	988
GPR1	989
CPO	990
MARCH4	991
TNP1	992
DIRC3	993
CXCR1	994
AC009974.2	995
CRYBA2	996
AC097468.4	997
AC093843.1	998
NYAP2	999
AC016717.2	1000
SPHKAP	1001
CHRNG	1002
KCNJ13	1003
ASB18	1004
AC104667.2	1005
AGXT	1006
CHL1	1007
AC023480.1	1008
NUP210	1009
AC087591.1	1010
AC010727.1	1011
CNOT10-AS1	1012
CCR4	1013
ARPP21	1014
DCLK3	1015
LINC02033	1016
AC099541.2	1017
AC099541.1	1018
AC006058.1	1019
LINC01988	1020
CCR1	1021
LTF	1022
TDGF1	1023
CAMP	1024
SPATA12	1025
LINC02005	1026
AC107029.2	1027
IMPG2	1028
AC020651.2	1029
AC012020.1	1030
LINC01215	1031
LINC01205	1032
CD200R1	1033
AC026329.1	1034
CFAP44-AS1	1035
ZNF80	1036
IGSF11	1037
POLQ	1038
CASR	1039
AC092902.6	1040
CFAP100	1041
AC112484.1	1042
COL6A6	1043
ACPP	1044
ACKR4	1045
RBP2	1046
RASA2-IT1	1047
AC112504.3	1048
AC092979.1	1049
CPA3	1050
MINDY4B	1051
P2RY14	1052
P2RY12	1053
AADAC	1054
ARL14	1055
LINC01192	1056
SLC7A14	1057
AC026316.5	1058
NAALADL2-AS2	1059
LINC00578	1060
AC117453.1	1061
AC076966.2	1062
AC092939.1	1063
SOX2	1064
LINC01206	1065
AC112907.1	1066
LPP-AS1	1067
OPA1-AS1	1068
AC106706.1	1069
LINC01972	1070
TNK2-AS1	1071
AC011322.1	1072
AC116565.1	1073
AC139887.5	1074
AL121750.1	1075
GPR78	1076
CPZ	1077
CLNK	1078
AC006296.3	1079
SLIT2-IT1	1080
AC116611.1	1081
AC016687.2	1082
DTHD1	1083
LINC02278	1084
GABRG1	1085
GABRA2	1086
AC104066.4	1087
ADGRL3	1088
STAP1	1089
AMBN	1090
JCHAIN	1091
CXCL6	1092
EPGN	1093
CXCL9	1094
CXCL10	1095
CXCL13	1096
CFAP299	1097
BMP3	1098
DMP1	1099
MMRN1	1100
HPGDS	1101
LINC02267	1102
ADH4	1103
ADH1B	1104
ADH1C	1105
ARHGEF38	1106
AC093879.1	1107
AC104779.1	1108
TMEM155	1109
AC093772.2	1110
LINC00499	1111
MGAT4D	1112
AC139720.1	1113
LINC02266	1114
AC097375.3	1115
FGG	1116
AC084740.1	1117
AC098679.1	1118
TKTL2	1119
TRIM75P	1120
AC084724.1	1121
AC084866.1	1122
HPGD	1123
ADAM29	1124
TEMN3-AS1	1125
AC084871.1	1126
AC108472.1	1127
AC097652.1	1128
LINC02515	1129
LINC01511	1130
AC016549.1	1131
AC114964.2	1132
PURPL	1133
CDH6	1134
AC034223.2	1135
LINC02160	1136
AC138409.3	1137
AGXT2	1138
AC114954.1	1139
AC016583.2	1140
GZMK	1141
GZMA	1142
GAPT	1143
AC008459.1	1144
AC010280.2	1145
AC026725.1	1146
S100Z	1147
CRHBP	1148
AC113167.1	1149
AC008592.5	1150
AC099509.1	1151
LINC02115	1152
LINC02163	1153
CAMK4	1154
AC010261.1	1155
AC079465.1	1156
KCNN2	1157
LINCADL	1158
AC008679.1	1159
CSF2	1160
IL13	1161
AC004039.1	1162
AC113382.2	1163
GFRA3	1164
AC010378.2	1165
PCDHGC5	1166
AC016598.1	1167
SCGB3A2	1168
CSF1R	1169
GLRA1	1170
TIMD4	1171
ITK	1172
C5orf52	1173
AC134043.2	1174
GABRB2	1175
AC011365.1	1176
DOCK2	1177
LINC01366	1178
HK3	1179
AC010285.3	1180
RASGEF1C	1181
BTNL9	1182
AL031768.1	1183
AL358777.1	1184
AL133259.1	1185
AL353152.2	1186
AL138720.1	1187
AL133405.1	1188
AL133268.3	1189
HIST1H1D	1190
BTN1A1	1191
AL121936.1	1192
AL021918.4	1193
HIST1H1B	1194
LINC01623	1195
TRIM40	1196
LST1	1197
NCR3	1198
SLC44A4	1199
AL662884.5	1200
HLA-DRB5	1201
HLA-DQA2	1202
HLA-DMB	1203
LHFPL5	1204
Z84484.1	1205
Z85996.3	1206
PI16	1207
AL133375.1	1208
ADGRF2	1209
FO680682.1	1210
KHDRBS2	1211
IMPG1	1212
CGA	1213
AL121787.1	1214
LIN28B-AS1	1215
AL096794.1	1216
NR2E1	1217
RFPL4B	1218
THEMIS	1219
AL590006.1	1220
VNN1	1221
AL450270.1	1222
AL449363.2	1223
AL355881.1	1224
MYB	1225
AL049552.1	1226
AL360178.2	1227
SLC35D3	1228
AL356234.2	1229
AL035446.2	1230
PHACTR2-AS1	1231
ADGB	1232
AL033504.1	1233
AL445123.2	1234
ZC3H12D	1235
IPCEF1	1236
NOX3	1237
AL391863.2	1238
AL138716.1	1239
AL590302.1	1240
CCR6	1241
KIF25-AS1	1242
AL606970.3	1243
AC093627.7	1244
AC093620.1	1245
AC092171.1	1246
COL28A1	1247
AC005019.2	1248
AC005014.4	1249
AC099342.1	1250
AC002480.1	1251
AC003093.1	1252
AC010677.2	1253
AC018647.3	1254
AC083864.5	1255
TRGC1	1256
TRG-AS1	1257
LUARIS	1258
LINC01447	1259
AC005999.2	1260
AC011228.2	1261
ELDR	1262
AC005482.1	1263
AC093655.1	1264
MLXIPL	1265
AC099398.1	1266
AC004921.2	1267
AC006378.1	1268
PPP1R9A	1269
AC002429.2	1270
AZGP1	1271
AC005096.1	1272
AC073517.1	1273
UPK3BL2	1274
AC005050.1	1275
PIK3CG	1276
AC006387.1	1277
GPR22	1278
AC073326.1	1279
AC002463.1	1280
TFEC	1281
AC006159.1	1282
AC004594.1	1283
AC087071.2	1284
CPA4	1285
AC007938.3	1286
AUXG01000058.1	1287
AC083870.1	1288
AC078845.1	1289
AC078842.2	1290
CLEC5A	1291
AC093673.2	1292
